('Sena von Bozsik','Jonathan','Rheder','Ahorngasse (St. Andrä) 35b'),
('Ricardo Proske','Benedikt','Trampeli','Bergstraße 6'),
('Christoph Doskoczynski','Lia','Habel','Windisch 827'),
('Dilara zu Schwab','Justin','Sonnabend','Bahngasse 4'),
('Umut Knabe','Lene','Sprenger','Koloniestraße 037'),
('Nila Bürklein','Lukas','Rittweg','Hirsdorf 47'),
('Tom Norris','Lotta','Wanner','Bruderhofgasse 644'),
('Carla Greger','Leni','Rapp','Rupertistraße 813'),
('Davide Letzelter','Angelina','Kampschulte','Straßerau 0'),
('Prof. Dr. Marcus Heinke','Samira','Effler','Am Mühlwasser 469'),
('Lilian Spiegelburg','Jona','Alexa','Kahlenberger Straße 2'),
('Jarno Klinger','Immanuel','Hannecker','Hernstorferstraße 24a'),
('Prof. Dr. Jayson Zekl','Stella','Brauer','Tennweg 07c'),
('Aleyna Harter','Tizian','Fitschen','Musikpavillon Riezlern 0'),
('Carolin Käther','Lucia','Preuss','Ottogasse 50c'),
('Robin Gehring','Femke','Riermeier','Uferstraße (Schwarzau am Steinfeld) 06b'),
('Inka Rhoden','Moritz','Otto','Graben (Burgauberg) 920'),
('Joy von Ranftl','Lewin','Schouren','Blattur 6'),
('Aaliyah Tuschmo','Gino','Golling','Blasiussteig 66'),
('Ismael Gaba','Ronja','Goldkühle','Am Sternweg 69b'),
('Liana Möllinger','Timm','Hauke','Kirchweg 69c'),
('Sally von Daum','Carlos','Hackelbusch','Anton Wildgans-Straße 37'),
('Wilhelm Hertel','Jamila','Reichel','Hochhaus Neue Donau 42c'),
('Luzie Schäfer','Jesper','Salzmann','Seestraße 16b'),
('Nicolas Bayer','Thalea','Wagner','Gemeindeplatz 77c'),
('Batuhan von Sujew','James','Weimer','Lindenhofstraße 84c'),
('Alessandro zu Lang','Kenny','Pollmächer','Konrad-Duden-Gasse 80c'),
('Kimi Strutz','Malin','Fuchs','Blattur 98a'),
('Pit Hallmann','Tony','Goldkühle','Basteigasse 80b'),
('Arno zu Dressler','Bela','Urban','Brunnelligasse 67c'),
('Maja von Gruszecki','Carmen','Harms','Schönholdsiedlung 87a'),
('Sami Krohn','Ivan','Humbert','Leopold Frank-Straße (Pellendorf) 7'),
('Ella vom Denner','Victoria','Dingelstedt','Bahngasse 594'),
('Cecilia Deckert','Leah','Wolff','Klingergasse 40b'),
('Emmy von Bigdeli','Vito','Matula','Steingrüneredt 9'),
('Dean Dörner','Friederike','Seiler','Tennweg 61c'),
('Estelle Ritz','Ahmed','Bethke','Hauptplatz 101'),
('Dr. Lutz Schneider','Melina','Katzinski','Fuchsgrubenweg 69'),
('Aliyah Mertens','Mailin','Raukuc','Jochriemgutstraße 96'),
('Hussein zu Schwidde','Diana','Koch','Spiesmayrweg 08c'),
('Dr. Carolina Lieder','Joost','Peter','Berggasse 58'),
('Giuliana Achilles','Yunus','Siebert','Mitterweg 48a'),
('Enrico Hengmith','Lindsay','Döring','Anton Wildgans-Straße 70a'),
('Adelina Garatva','Pit','Mewes','Brunnelligasse 622'),
('Rebekka Nau','Bernd','Gebhardt','Klamm 8'),
('Helin Ochs','Taha','Löwa','Lerchengasse (Pirka) 40a'),
('Maja Wilts','Yara','Fenner','Kubinstraße 6'),
('Sude Gutschank','Mohammed','Ritz','Hernstorferstraße 54b'),
('Alice Lorenz','Lino','Paschke','Donaugasse 11a'),
('Lasse von der Wischek','Isabel','Reuber','Neustiftgasse 7'),
('Wibke Soller','Selin','Stenzel','Paul Peters-Gasse 84c'),
('Noemi Brandenburg','Laurenz','Schieskow','Schulgasse (Langeck) 77'),
('Prof. Dr. Hauke Mühleis','Florian','Sihler','Helenengasse 96b'),
('Arda Kisabaka','David','Heinig','Kleinbaumgarten 112'),
('Prof. Dr. Lewin Strausa','Angela','Gummelt','Basteigasse 603'),
('Prof. Dr. Anneke Nwachukwu','Josefine','Laux','Niederegg 73a'),
('Katrin vom Giesa','Abdul','Poschmann','Schönholdsiedlung 3'),
('Laura Schwarz','Liam','Tucholke','Herminengasse 56b'),
('Thalea Lieder','Ömer','Karsten','Ringweg 25'),
('Julien vom Frenzel','Logan','Pinnock','Ahorn 78c'),
('Prof. Dr. Katharina Börner','Maximilian','Wimmer','Neustiftgasse 24c'),
('Leoni Sutschet','Aaliyah','Nodler','Lichtensternsiedlung V 15'),
('Josie von Koubaa','Karim','Jung','Brunnelligasse 121'),
('Karla Barr','Lennox','Többen','Ebenthalerstraße 05c'),
('Jay Ostendarp','Kaya','Steffen','Hainschwang 53c'),
('Maya von der Linden','Tristan','Hehl','Auf der Stift 736'),
('Dr. Finia Bönisch','Clemens','Schlawitz','Hermann von Gilmweg 27a'),
('Jamal Bornscheuer','Rosa','Flore','Franz Schubert-Gasse 71a'),
('Melvin Stephan','Sascha','Vokuhl','Glanfeldbachweg 5'),
('Dana Lewin','Janna','Kühn','Verwaltersiedlung 6'),
('Marek Abicht','Daniel','Ullmann','Oedt 67a'),
('Prof. Dr. Kiara Koch','Claire','Jegorov','Kleinbaumgarten 5'),
('Sahra Werner','Lee','Lindenberg','Stöpflweg 454'),
('Anni Sauer','Rieke','Hanenberger','Mitterweg 2'),
('Lias Steding','Kiara','Tischmann','Tiroler Straße 27c'),
('Dr. Leah Gehring','Joy','Friess','Zebragasse 644'),
('Dr. Cindy Dolch','Christiano','Reinke','Dr.-Oberreiter-Straße 1'),
('Dr. Tristan Sommer','Arved','Isekenmeier','Jochriemgutstraße 33a'),
('Maurice von Greb','Emilio','Kurnicki','Reitbauernstraße 29b'),
('Vivian Tonat','Svenja','Hechler','Aufeldgasse 59a'),
('Jamie Sutschet','Ida','Hansen','Hauptplatz 89c'),
('Tommy von der Reumann','Ferdinand','Kuske','Kahlenberger Straße 51c'),
('Prof. Dr. Ecrin Tress','Joschua','Wolf','Karl Kraft-Straße 24b'),
('Prof. Dr. Annabell Pitschugin','Enrico','Heinrich','Gabelsbergerstraße 94c'),
('Kassandra Helmke','Aurelia','Bauschinger','Mühlenweg 358'),
('Noemi von Gaba','Lenia','Riediger','Seestraße 10c'),
